id,name,avatar,details_path,types,total,hp,attack,defense,sp_attack,sp_defense,speed,entry
1,Bulbasaur,https://img.pokemondb.net/sprites/scarlet-violet/icon/bulbasaur.png,/pokedex/bulbasaur,"['Grass', 'Poison']",318,45,49,49,65,65,45,A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON.
2,Ivysaur,https://img.pokemondb.net/sprites/scarlet-violet/icon/ivysaur.png,/pokedex/ivysaur,"['Grass', 'Poison']",405,60,62,63,80,80,60,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs."
3,Venusaur,https://img.pokemondb.net/sprites/scarlet-violet/icon/venusaur.png,/pokedex/venusaur,"['Grass', 'Poison']",525,80,82,83,100,100,80,80
3,Mega Venusaur,https://img.pokemondb.net/sprites/scarlet-violet/icon/venusaur-mega.png,/pokedex/venusaur,"['Grass', 'Poison']",625,80,100,123,122,120,80,80
4,Charmander,https://img.pokemondb.net/sprites/scarlet-violet/icon/charmander.png,/pokedex/charmander,['Fire'],309,39,52,43,60,50,65,"Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail."
5,Charmeleon,https://img.pokemondb.net/sprites/scarlet-violet/icon/charmeleon.png,/pokedex/charmeleon,['Fire'],405,58,64,58,80,65,80,"When it swings its burning tail, it elevates the temperature to unbearably high levels."
6,Charizard,https://img.pokemondb.net/sprites/scarlet-violet/icon/charizard.png,/pokedex/charizard,"['Fire', 'Flying']",534,78,84,78,109,85,100,78
6,Mega Charizard X,https://img.pokemondb.net/sprites/scarlet-violet/icon/charizard-mega-x.png,/pokedex/charizard,"['Fire', 'Dragon']",634,78,130,111,130,85,100,78
6,Mega Charizard Y,https://img.pokemondb.net/sprites/scarlet-violet/icon/charizard-mega-y.png,/pokedex/charizard,"['Fire', 'Flying']",634,78,104,78,159,115,100,78
7,Squirtle,https://img.pokemondb.net/sprites/scarlet-violet/icon/squirtle.png,/pokedex/squirtle,['Water'],314,44,48,65,50,64,43,"After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth."
8,Wartortle,https://img.pokemondb.net/sprites/scarlet-violet/icon/wartortle.png,/pokedex/wartortle,['Water'],405,59,63,80,65,80,58,"Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance."
9,Blastoise,https://img.pokemondb.net/sprites/scarlet-violet/icon/blastoise.png,/pokedex/blastoise,['Water'],530,79,83,100,85,105,78,79
9,Mega Blastoise,https://img.pokemondb.net/sprites/scarlet-violet/icon/blastoise-mega.png,/pokedex/blastoise,['Water'],630,79,103,120,135,115,78,79
10,Caterpie,https://img.pokemondb.net/sprites/scarlet-violet/icon/caterpie.png,/pokedex/caterpie,['Bug'],195,45,30,35,20,20,45,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.
11,Metapod,https://img.pokemondb.net/sprites/scarlet-violet/icon/metapod.png,/pokedex/metapod,['Bug'],205,50,20,55,25,25,30,"This POKéMON is vulnerable to attack while its shell is soft, exposing its weak and tender body."
12,Butterfree,https://img.pokemondb.net/sprites/scarlet-violet/icon/butterfree.png,/pokedex/butterfree,"['Bug', 'Flying']",395,60,45,50,90,80,70,"In battle, it flaps its wings at high speed to release highly toxic dust into the air."
13,Weedle,https://img.pokemondb.net/sprites/scarlet-violet/icon/weedle.png,/pokedex/weedle,"['Bug', 'Poison']",195,40,35,30,20,20,50,"Often found in forests, eating leaves. It has a sharp venomous stinger on its head."
14,Kakuna,https://img.pokemondb.net/sprites/scarlet-violet/icon/kakuna.png,/pokedex/kakuna,"['Bug', 'Poison']",205,45,25,50,25,25,35,"Almost incapable of moving, this POKéMON can only harden its shell to protect itself from predators."
15,Beedrill,https://img.pokemondb.net/sprites/scarlet-violet/icon/beedrill.png,/pokedex/beedrill,"['Bug', 'Poison']",395,65,90,40,45,80,75,65
15,Mega Beedrill,https://img.pokemondb.net/sprites/scarlet-violet/icon/beedrill-mega.png,/pokedex/beedrill,"['Bug', 'Poison']",495,65,150,40,15,80,145,65
